The Darwin Awards,read,3.56,Wendy Northcutt,Jason Harris,non-fiction,2011,2011,u,The Darwin Awards,3 
Freakonomics,read,6.91,Steven D. Levitt,Stephen J. Dubner,non-fiction,2011,2011,u,,4 
Salt,read,13.71,Mark Kurlansky,Scott Brick,non-fiction,2011,2011,u,,2 
The Most Human Human,read,9.66,Brian Christian,Brian Christian,non-fiction,2011,2011,u,,3 
Physics of the Future,read,15.71,Michio Kaku,Feodor Chin,non-fiction,2011,2011,u,,4 
Parallel Worlds,read,14.91,Michio Kaku,Marc Vietor,non-fiction,2011,2011,u,,4 
Bossypants,read,5.566667,Tina Fey,Tina Fey,non-fiction,2011,2011,u,Memoirs,3 
The Dreaming Void,read,22.63,Peter F. Hamilton,John Lee,fiction,2011,2011,u,Void Trilogy,5 
Dearly Devoted Dexter,read,9.4,Jeff Lindsay,Nick Landrum,fiction,2011,2011,u,Dexter,3 
The National Parks,read,15.62,Ken Burns,Ken Burns,non-fiction,2011,2011,u,,3 
Red November,read,12.616667,W. Craig Reed,Tom Weiner,non-fiction,2011,2012,u,The Cold War,5 
The Psychopath Test,read,7.55,Jon Ronson,Jon Ronson,non-fiction,2011,2011,u,,6
Area 51,read,16.18,Annie Jacobsen,Annie Jacobsen,non-fiction,2011,2011,u,,5 
The Dead Hand,read,20.816666,David E. Hoffman,Bob Walter,non-fiction,2011,2012,u,The Cold War,4 
The Temporal Void,read,25.25,Peter F. Hamilton,John Lee,fiction,2011,2011,u,Void Trilogy,5 
The Evolutionary Void,read,24.75,Peter F. Hamilton,John Lee,fiction,2011,2011,u,Void Trilogy,4 
The Rise and Fall of the Third Reich,read,57.216667,William L. Shirer,Grover Gardner,non-fiction,2011,2014,u,WWII,6
Dexter in the Dark,read,12.6,Jeff Lindsay,Nick Landrum,fiction,2011,2011,u,Dexter,2 
I'm Dreaming of a Black Christmas,read,4.94,Lewis Black,Lewis Black,non-fiction,2011,2011,u,,5 
Me of Little Faith,read,5.8,Lewis Black,Lewis Black,non-fiction,2011,2011,u,,5 
The Blind Watchmaker,read,14.7,Richard Dawkins,Richard Dawkins,non-fiction,2011,2011,u,,3 
The Mother Tongue,read,11.650001,Bill Bryson,Stephen McLaughin,Non-Fiction,2011,2011,u,,5 
Consider Phlebas,read,16.5,Iain M. Banks,Peter Kenny,fiction,2011,2012,u,Culture,6
The Player of Games,read,11.44,Iain M. Banks,Peter Kenny,fiction,2011,2012,u,Culture,6
Boomerang,read,7.23,Michael Lewis,Dylan Baker,non-fiction,2011,2011,u,,4 
God No!,read,7.38,Penn Jillette,Penn Jillette,non-fiction,2011,2011,u,Atheism with Penn Jillette,5 
That Use to Be Us,read,16.96,Thomas L. Friedman,Jason Culp,non-fiction,2011,2012,u,,4 
Bad Astronomy,read,9.633333,Philip Plait,Kevin Scullin,non-fiction,2011,2011,u,Space,5 
Dexter Is Delicious,read,11.34,Jeff Lindsay,Jeff Lindsay,fiction,2011,2012,u,Dexter,4 
Steve Jobs,read,25.133333,Walter Isaacson,Dylan Baker,non-fiction,2011,2011,u,Steve Jobs,5 
The Magic of Reality,read,6.4,Richard Dawkins,Richard Dawkins,non-fiction,2011,2011,u,,4 
Ghost in the Wires,read,14,Kevin Mitnick,Ray Porter,non-fiction,2011,2011,u,,4 
The Yugo,read,8.95,Jason Vuic,Erik Synnestvedt,non-fiction,2011,2011,u,,3 
Long Way Down,read,3,Ewan McGregor,Mark Bonnar,non-fiction,2011,2011,a,Long Way,5 
Long Way Round,read,5.94,Ewan McGregor,Mark Bonnar,non-fiction,2011,2011,a,Long Way,5 
Bill Bryson's African Diary,read,1.5,Bill Bryson,Bill Bryson,non-fiction,2011,2011,u,,5 
The Call of the Weird,read,3.8,Louis Theroux,Louis Theroux,non-fiction,2012,2012,u,,6
The Clockwork Universe,read,10.12,Edward Dolnick,Alan Sklar,non-fiction,2012,2012,u,,4 
The 4 Percent Universe,read,10.12,Richard Panek,Ray Porter,non-fiction,2012,2012,u,,2 
1984,read,11.42,George Orwell,Simon Prebble,fiction,2012,2012,u,,6
The Untold History of the Potato,read,11.87,John Reader,Martin Hyder,non-fiction,2012,2012,u,,5 
Born in Africa,read,6.95,Martin Meredith,Joe Barrett,non-fiction,2012,2012,u,,2 
The Sociopath Next Door,read,7.44,Martha Stout,Shelly Frasier,non-fiction,2012,2012,u,,5 
The Liar,read,8.5,Stephen Fry,Stephen Fry,fiction,2012,2012,u,,5 
By Any Means,read,3.26,Charley Boorman,Rupert Degas,non-fiction,2012,2012,a,,5 
Manhattan in Reverse,read,10.38,Peter F. Hamilton,Sean Barrett,fiction,2012,2012,u,,3 
The Hippopotamus,read,9,Stephen Fry,Stephen Fry,fiction,2012,2012,u,,5 
Surface Detail,read,22.38,Iain M. Banks,Peter Kenny,fiction,2012,2012,u,Culture,6
Irrationality,read,10.53,Stuart Sutherland,Kris Dyer,non-fiction,2012,2013,u,,4 
A Whole New Mind,read,6.32,Daniel H. Pink,Daniel H. Pink,non-fiction,2012,2013,u,,2 
The Man Who Mistook His Wife for a Hat,read,9.6,Oliver Sacks,Oliver Sacks,non-fiction,2012,2012,u,,3 
Quantum Theory Cannot Hurt You,read,6,Marcus Chown,Clive Mantle,non-fiction,2012,2012,u,,4 
Don't Tell Mum I Work on the Rigs,read,4.166667,Paul Carter,Paul Carter,non-fiction,2012,2012,u,Memoirs,5 
